Number of learning samples: 46
Number of validation samples: 6
Number of testing samples: 7
Learning results:
  Accuracy, F1 score, Precision, Recall
0.83600914478302, 0.6730208992958069, 0.5366207361221313, 
0.8377717733383179, 0.821099579334259, 0.3627223074436188, 
0.8434385061264038, 0.663118839263916, 0.6274996995925903, 
0.8482480645179749, 0.6750951409339905, 0.6360762119293213, 
0.8455634117126465, 0.814832866191864, 0.41163939237594604, 
0.8577611446380615, 0.772619903087616, 0.5270696878433228, 
0.8581411838531494, 0.7981379628181458, 0.5001214742660522, 
0.8644030094146729, 0.7258769869804382, 0.644777238368988, 
0.8660783171653748, 0.7360026240348816, 0.6372563242912292, 
0.8590435981750488, 0.7844575643539429, 0.5206833481788635, 


Validation results:
  Accuracy, F1 score, Precision, Recall
0.7860501408576965, 0.7385190725326538, 0.5327937006950378, 
0.7748157382011414, 0.851250946521759, 0.3752933740615845, 
0.7998541593551636, 0.7274411916732788, 0.6180329322814941, 
0.8047532439231873, 0.7393805384635925, 0.620038628578186, 
0.7857936024665833, 0.8355455994606018, 0.4275094270706177, 
0.7989023327827454, 0.8057307004928589, 0.5054084062576294, 
0.7949173450469971, 0.8189682364463806, 0.47670993208885193, 
0.8099498748779297, 0.7696318030357361, 0.5957307815551758, 
0.8104375004768372, 0.7723649144172668, 0.593966543674469, 
0.7998828291893005, 0.793748676776886, 0.5222622752189636, 


Testing results:
  Accuracy, F1 score, Precision, Recall
0.8553097248077393, 0.666688859462738, 0.44952747225761414, 
0.8581355810165405, 0.8090264797210693, 0.3140619993209839, 
0.8561160564422607, 0.6253488063812256, 0.5714909434318542, 
0.8614045977592468, 0.6470540165901184, 0.5663843154907227, 
0.862587034702301, 0.7982649803161621, 0.3529804050922394, 
0.8691819310188293, 0.7421867847442627, 0.4583145081996918, 
0.8678789138793945, 0.7733978033065796, 0.4131922423839569, 
0.8713259100914001, 0.7003282308578491, 0.5429083108901978, 
0.8713995814323425, 0.7031208872795105, 0.538262128829956, 
0.8638604879379272, 0.724141538143158, 0.43711674213409424, 

